SCCS_ID,language_family,G1_Associated,G2_Harm,G3_Help,G4_Punitive,SG1_Associated,SG2_Harm,SG3_Help,SG4_Punitive,MS1_Associated,MS2_Harm,MS3_Help,MS4_Punitive,Social_Complexity,ResourceStress,Stress
39,Nubian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4,-3.159223328
40,Saharan,1,1,NA,NA,NA,NA,NA,NA,1,1,0,NA,21,1,0.888385296
40,Saharan,1,1,NA,NA,NA,NA,NA,NA,1,1,0,NA,21,2,1.165442359
40,Saharan,1,1,NA,NA,NA,NA,NA,NA,1,1,0,NA,21,3,2.435799873
40,Saharan,1,1,NA,NA,NA,NA,NA,NA,1,1,0,NA,21,4,-2.876038126
41,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,1,NA
41,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,NA
41,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,3,NA
41,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4,-2.751136511
42,Afro-Asiatic,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,42,1,-0.114630361
42,Afro-Asiatic,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,42,2,-0.545126265
42,Afro-Asiatic,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,42,3,1.353222151
42,Afro-Asiatic,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,42,4,-1.369307850
43,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,0,0,0,0,47,1,NA
43,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,0,0,0,0,47,2,1.165442359
43,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,0,0,0,0,47,3,0.270644430
43,Afro-Asiatic,1,1,1,1,NA,NA,NA,NA,0,0,0,0,47,4,-2.662730820
44,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,1,-0.114630361
44,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,2,-0.545126265
44,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,3,-0.811933291
44,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,4,-1.536784803
45,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1,NA
45,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,2,-0.545126265
45,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,3,NA
45,Afro-Asiatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,4,-2.593788647
46,Afro-Asiatic,1,NA,1,0,1,1,1,1,1,NA,1,NA,23,1,0.888385296
46,Afro-Asiatic,1,NA,1,0,1,1,1,1,1,NA,1,NA,23,2,1.165442359
46,Afro-Asiatic,1,NA,1,0,1,1,1,1,1,NA,1,NA,23,3,NA
46,Afro-Asiatic,1,NA,1,0,1,1,1,1,1,NA,1,NA,23,4,-2.214468868
47,Turkic,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,48,1,0.888385296
47,Turkic,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,48,2,1.165442359
47,Turkic,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,48,3,1.353222151
47,Turkic,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,48,4,-0.411152163
48,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,1,NA
48,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,2,NA
48,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,3,NA
48,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,4,0.222075523
49,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,1,NA
49,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,2,NA
49,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,3,NA
49,Indo-European,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,4,-0.187607934
50,Basque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,NA
50,Basque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,2,NA
50,Basque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,3,NA
50,Basque,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,4,0.014805390
51,Indo-European,0,0,0,0,NA,NA,NA,NA,1,NA,1,NA,47,1,NA
51,Indo-European,0,0,0,0,NA,NA,NA,NA,1,NA,1,NA,47,2,-1.400410576
51,Indo-European,0,0,0,0,NA,NA,NA,NA,1,NA,1,NA,47,3,0.270644430
51,Indo-European,0,0,0,0,NA,NA,NA,NA,1,NA,1,NA,47,4,-0.030757432
52,Uralic,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,18,1,-1.117646018
52,Uralic,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,18,2,-1.400410576
52,Uralic,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,18,3,NA
52,Uralic,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,18,4,-0.766077663
53,Uralic,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18,1,0.888385296
53,Uralic,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18,2,1.165442359
